User ID	Screen Name	Number of Tweets	Number of Topics	Topics Discussed
765296237331357696	proudCanadavet	164	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
535553301	casualcactii	164	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
330379522	AbelBishopH	163	8	1, 2, 3, 4, 6, 8, 9, 10
876479489500487681	NLSmith99	163	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
20878297	ezralevant	162	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
746411866436448256	kristinstrong36	161	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
488700754	Jeapam	161	8	1, 2, 3, 4, 5, 6, 7, 10
147446901	FrancoCNac	161	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
924455819348865024	zyzeer	160	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
352020066	aodaalliance	160	5	2, 3, 5, 6, 9
310425304	bernie8859	158	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1113759198	TrippettaRaffe	158	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
951614969837060097	carrollev1	158	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
291462147	barblet30	157	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
79272691	lettienets	156	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
262522708	NoEasyBrushOff	156	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3434791216	Sharonapple123	156	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
988601164785635330	sqirlgirly	156	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
888176567645614080	IamPopTheNarrat	155	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
16620002	KyleHarrietha	154	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
23398730	dmrider	154	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1166799265806503936	Kirky861	153	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
21212604	ctvottawa	153	9	1, 2, 3, 4, 5, 6, 7, 8, 9
1913054058	libphil_	153	8	1, 2, 3, 4, 7, 8, 9, 10
82241627	stewak2	153	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
760249397103828992	TheBlueVI	152	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
915095266293833728	gayan_john	151	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
4719872722	Colleenmom3	150	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1870626180	hmmbee	150	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1858605360	april64caca	148	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
749515428	KathrynMathias1	147	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1072715886	srduquette3	147	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
328174459	SavidDtarkman	147	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2198212657	norargh1	147	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
110194870	PaulCogan	147	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
31016461	JdeQuebec	146	1	10
552119609	legant66	146	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1939332804	fastrunner2b	145	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
764190205133717504	LiberalJoc	145	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
17385685	YoniFreedhoff	145	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2327853319	KCwvbc	144	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
414863106	Myneedtoshare	144	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
937380816417640448	lisamoosie13	144	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2420188731	kpal65	144	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
156314187	NoLore	144	9	1, 2, 3, 4, 6, 7, 8, 9, 10
3163148070	mustangmadd	144	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
295149380	StaceyOIrish	144	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3222442128	DannyAlberta77	143	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1957951376	zcstocks	143	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
575500205	gopherachers	142	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
190010892	ewolkcin	141	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
12993222	CityNews	141	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1106989053054869505	IRENEWA45168212	141	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
411720323	williamjones75	141	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1026468656195227649	Percent76	140	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3043023821	Athena1944	140	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1544098346	thesolo_HelenV	140	9	1, 2, 3, 4, 5, 6, 7, 8, 9
819405797151113221	All_Canadians	140	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
906339305467138048	sherri_millette	139	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
27015752	570NEWS	139	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
19969078	samkj27	139	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
17659340	CTVToronto	138	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1305697758	britjpncdn	138	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
319975974	RobertAWiseman	138	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
954029917812899840	Pick_A_Lane	138	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
90379747	CordeiroRick	137	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
68599588	greenurlifenow	137	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1162848096	forest10000	137	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
112030336	ernestma	137	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1543975212	aliaskmck	136	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
22279004	MurfAD	136	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1056786633477877760	tabburs	136	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3313678069	MarthaMcCracke5	136	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
17535691	rubic_ca	136	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
795412933631062016	fern_60	135	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
164664227	anneottley	135	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
16861429	canadian_stix	135	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
4697537186	pmcgoldrick27	134	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
217895850	HappyBowWow	134	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
4921089683	Alpenstrudel	133	9	1, 2, 3, 4, 6, 7, 8, 9, 10
1084754252	KraziKanuck	133	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3191478638	stanspak	133	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
958275420780077056	aquastranger	133	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
34774986	ScottPiatkowski	132	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
286219731	MahmoudShoblaq	132	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
340876108	2jehan	132	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
893479800	Garnet_2203	131	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
22562961	TOPublicHealth	131	8	1, 2, 3, 4, 6, 7, 8, 9
186899860	pairsonnalitesD	131	1	4
1196088434	bowman_beverly	131	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1234848078739496961	GrumpierM	131	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
122130825	26aball	130	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
707048746211737601	falfab68	130	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3260049157	kitsap_lady	130	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
972851747294273537	nehoez	130	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
171076111	jahodgins	130	9	1, 2, 3, 4, 5, 6, 7, 8, 9
928998313	CPercySearle	130	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
373128528	ItZmeKatherine	130	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
902966850421571584	mileslunn	129	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
268881635	heatherdcoleman	129	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2459208067	RyannaEvans	129	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3092438314	marcody8	129	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2924643174	leialululu	129	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
21402395	elanknits	129	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
97970376	retirewcashflow	128	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2963417238	TerryPolevoy	128	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
16313405	CTVVancouver	128	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
3303605923	jsinvr	128	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
796243740293664768	delarunwoman	128	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1005111233383579655	Schtaunkhauser	127	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2863551224	motocomms	127	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
825060240383172609	JLCWood2017	126	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2536457582	Sunnydays180	126	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2442545461	susanjeanreid	125	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
1373366317	brittabnolte	125	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
19386778	realreporter	125	9	1, 2, 3, 4, 5, 6, 8, 9, 10
34507278	souljahsingh	124	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
90732175	Mikeggibbs	123	9	1, 2, 3, 4, 5, 6, 7, 8, 9
936768436600000513	LoriIsEpic	123	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
710983755163426817	ClimateMalware	123	10	1, 2, 3, 4, 5, 6, 7, 8, 9, 10
