Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
source,2108,2059,0.89766,1256,10.06652
saying,2108,2018,0.87978,1330,10.65961
2020,2108,2017,0.87935,1290,10.33902
hour,2102,2014,0.87804,1321,10.58748
15,2095,2070,0.90245,1317,10.55542
small,2090,1951,0.85057,1331,10.66763
closed,2085,1903,0.82965,1244,9.97035
disease,2079,1939,0.84534,1237,9.91424
justintrudeau,2064,2021,0.88109,961,7.70217
area,2062,1941,0.84621,1196,9.58564
someone,2056,2028,0.88414,1328,10.64358
three,2055,2004,0.87368,1334,10.69167
study,2055,1935,0.8436,1239,9.93027
eligible,2049,1933,0.84272,1256,10.06652
almost,2040,2023,0.88196,1376,11.02829
effective,2038,1950,0.85014,1359,10.89204
critical,2036,1907,0.83139,1153,9.241
abpoli,2036,2026,0.88327,680,5.45003
decision,2035,1936,0.84403,1278,10.24285
fully,2031,1947,0.84883,1285,10.29895
pfizer,2023,1915,0.83488,1252,10.03446
pay,2023,1869,0.81482,1258,10.08255
surge,2021,2004,0.87368,1252,10.03446
concern,2019,1967,0.85755,1173,9.4013
sure,2018,1989,0.86714,1355,10.85998
actually,2011,1972,0.85973,1265,10.13866
peel,2007,1915,0.83488,1024,8.2071
transmission,2004,1909,0.83226,1173,9.4013
received,2004,1888,0.82311,1236,9.90623
find,1997,1975,0.86104,1373,11.00425
making,1992,1988,0.8667,1355,10.85998
share,1988,1974,0.8606,1376,11.02829
party,1979,1875,0.81744,1227,9.83409
rollout,1977,1949,0.8497,1282,10.27491
tomorrow,1974,1945,0.84796,1286,10.30696
hit,1972,1925,0.83924,1308,10.48329
something,1971,1951,0.85057,1312,10.51535
remember,1969,1935,0.8436,1285,10.29895
3rd,1966,1929,0.84098,1245,9.97836
best,1963,1917,0.83575,1352,10.83594
jkenney,1959,1926,0.83967,659,5.28172
zero,1944,1704,0.74289,1074,8.60784
woman,1940,1718,0.74899,1198,9.60167
pm,1935,1774,0.77341,1097,8.79218
online,1933,1871,0.81569,1229,9.85012
political,1929,1842,0.80305,1160,9.29711
away,1929,1896,0.82659,1334,10.69167
level,1923,1837,0.80087,1271,10.18674
crisis,1916,1830,0.79782,1206,9.66579
20,1915,1793,0.78169,1193,9.56159
outside,1909,1784,0.77777,1246,9.98637
administered,1896,1795,0.78256,1015,8.13497
effect,1891,1824,0.7952,1258,10.08255
safety,1879,1813,0.79041,1200,9.6177
workplace,1871,1740,0.75858,1105,8.8563
ucp,1864,1721,0.7503,569,4.56039
30,1856,1839,0.80174,1281,10.26689
tested,1855,1764,0.76905,1102,8.83225
china,1852,1490,0.64959,834,6.6843
church,1850,1577,0.68752,935,7.49379
everything,1848,1811,0.78954,1267,10.15468
brazil,1848,1716,0.74812,912,7.30945
8,1842,1804,0.78649,1244,9.97035
un,1838,1577,0.68752,602,4.82488
member,1837,1753,0.76425,1244,9.97035
reason,1836,1769,0.77123,1222,9.79402
despite,1833,1793,0.78169,1269,10.17071
doesnt,1831,1790,0.78038,1170,9.37725
healthcare,1827,1744,0.76033,1175,9.41733
contact,1825,1683,0.73373,1125,9.01659
vaccinate,1824,1726,0.75248,1162,9.31314
uk,1823,1694,0.73853,1016,8.14298
learn,1815,1807,0.78779,1121,8.98453
leadership,1813,1759,0.76687,1091,8.74409
morning,1805,1782,0.77689,1251,10.02645
quebec,1798,1690,0.73678,866,6.94077
line,1794,1725,0.75204,1212,9.71387
happening,1789,1593,0.6945,1063,8.51968
thanks,1770,1707,0.7442,1260,10.09858
instead,1768,1732,0.7551,1169,9.36924
available,1765,1710,0.7455,1198,9.60167
friday,1763,1737,0.75728,1163,9.32115
anything,1763,1693,0.73809,1172,9.39328
follow,1760,1691,0.73722,1146,9.1849
unit,1755,1618,0.7054,1009,8.08688
ontarians,1752,1628,0.70975,941,7.54188
wait,1751,1689,0.73635,1177,9.43336
local,1739,1681,0.73286,1201,9.62571
given,1736,1675,0.73025,1170,9.37725
canuck,1733,1625,0.70845,657,5.26569
police,1729,1569,0.68403,978,7.83842
thread,1727,1686,0.73504,1012,8.11092
lock,1724,1621,0.7067,1060,8.49563
7,1723,1595,0.69537,1065,8.53571
possible,1719,1693,0.73809,1162,9.31314
money,1718,1568,0.6836,1098,8.80019
current,1718,1684,0.73417,1131,9.06468
likely,1716,1592,0.69406,1096,8.78416
believe,1716,1669,0.72763,1139,9.1288
yes,1715,1623,0.70757,1125,9.01659
albertans,1715,1475,0.64305,611,4.89701
60,1714,1663,0.72501,1088,8.72004
entire,1712,1695,0.73896,1198,9.60167
trying,1711,1635,0.71281,1173,9.4013
break,1708,1641,0.71542,1108,8.88034
isnt,1691,1635,0.71281,1122,8.99255
might,1681,1598,0.69668,1113,8.92041
calling,1675,1608,0.70104,1138,9.12078
officer,1673,1601,0.69798,1044,8.3674
hospitalization,1664,1620,0.70627,1017,8.151
clear,1659,1650,0.71935,1140,9.13681
thought,1656,1618,0.7054,1209,9.68983
starting,1655,1641,0.71542,1172,9.39328
didnt,1653,1516,0.66093,1083,8.67997
strategy,1652,1557,0.6788,995,7.97467
used,1645,1529,0.66659,1087,8.71203
fight,1642,1570,0.68447,1114,8.92843
taking,1640,1614,0.70365,1174,9.40931
set,1635,1587,0.69188,1153,9.241
symptom,1634,1548,0.67488,1030,8.25519
parent,1634,1474,0.64262,1010,8.09489
different,1632,1583,0.69014,1148,9.20093
bed,1629,1498,0.65308,981,7.86247
40,1624,1610,0.70191,1165,9.33718
14,1621,1610,0.70191,1094,8.76813
failed,1612,1469,0.64044,946,7.58195
human,1611,1530,0.66703,1093,8.76012
together,1610,1582,0.6897,1120,8.97652
tax,1610,1289,0.56196,929,7.4457
worse,1607,1567,0.68316,1056,8.46357
result,1605,1567,0.68316,1092,8.7521
nurse,1602,1355,0.59074,871,6.98084
conservative,1594,1490,0.64959,839,6.72437
w,1591,1468,0.64,983,7.8785
hand,1586,1553,0.67706,1130,9.05666
list,1582,1503,0.65526,1005,8.05482
among,1581,1461,0.63695,984,7.88651
little,1580,1558,0.67924,1134,9.08872
mental,1579,1463,0.63782,1052,8.43151
education,1576,1457,0.6352,884,7.08504
word,1574,1499,0.65351,1058,8.4796
wrong,1573,1498,0.65308,1003,8.03879
half,1568,1513,0.65962,1053,8.43953
ill,1567,1447,0.63084,1013,8.11894
youre,1562,1414,0.61646,1034,8.28725
shutdown,1551,1442,0.62866,965,7.73423
game,1548,1462,0.63738,1048,8.39945
nearly,1545,1519,0.66223,1034,8.28725
flu,1537,1288,0.56153,844,6.76445
onted,1536,1532,0.6679,595,4.76877
always,1532,1486,0.64785,1091,8.74409
seen,1530,1509,0.65787,1086,8.70402
needed,1529,1509,0.65787,1075,8.61585
face,1526,1476,0.64349,1037,8.31129
protection,1524,1496,0.65221,1096,8.78416
18,1520,1436,0.62605,1006,8.06284
free,1518,1383,0.60294,1012,8.11092
johnson,1516,863,0.37624,631,5.05731
able,1513,1487,0.64828,1096,8.78416
confirmed,1512,1484,0.64698,898,7.19724
single,1508,1492,0.65046,1076,8.62387
blame,1506,1421,0.61951,978,7.83842
top,1503,1435,0.62561,1036,8.30328
pharmacy,1503,1284,0.55978,842,6.74842
soon,1501,1473,0.64218,1102,8.83225
celliottability,1501,1494,0.65134,692,5.54621
hot,1495,1449,0.63172,991,7.94261
within,1489,1447,0.63084,1044,8.3674
exposure,1487,1429,0.623,952,7.63004
access,1486,1420,0.61907,958,7.67813
wearing,1482,1441,0.62823,1053,8.43953
information,1479,1429,0.623,963,7.7182
wont,1474,1437,0.62649,1011,8.10291
left,1473,1383,0.60294,1037,8.31129
early,1473,1449,0.63172,1078,8.6399
dying,1468,1420,0.61907,997,7.9907
tweet,1464,1380,0.60163,1023,8.19909
following,1464,1454,0.6339,1033,8.27923
rising,1463,1452,0.63302,1040,8.33534
check,1463,1424,0.62082,1079,8.64791
higher,1462,1335,0.58202,936,7.5018
younger,1461,1428,0.62256,998,7.99872
fear,1461,1384,0.60338,950,7.61401
zone,1457,1164,0.50747,763,6.11525
announced,1455,1426,0.62169,959,7.68614
thursday,1449,1440,0.62779,1001,8.02276
average,1445,1346,0.58681,843,6.75643
cost,1440,1236,0.53886,945,7.57394
shut,1438,1406,0.61297,1002,8.03078
cbc,1437,1413,0.61602,835,6.69231
distancing,1435,1414,0.61646,1055,8.45556
politician,1430,1331,0.58027,890,7.13312
provincewide,1428,1420,0.61907,969,7.76629
national,1423,1389,0.60556,970,7.7743
else,1423,1412,0.61559,1014,8.12695
took,1421,1404,0.6121,1035,8.29526
act,1414,1388,0.60512,909,7.28541
gov,1412,1384,0.60338,858,6.87665
move,1410,1403,0.61166,1046,8.38343
listen,1410,1368,0.5964,943,7.55791
thousand,1409,1374,0.59902,1002,8.03078
maybe,1409,1362,0.59379,1011,8.10291
vancouver,1407,1269,0.55324,659,5.28172
pour,1407,1193,0.52011,416,3.33413
au,1404,1168,0.50921,365,2.92538
according,1403,1396,0.60861,977,7.83041
rise,1402,1383,0.60294,950,7.61401
fighting,1402,1373,0.59858,594,4.76076
asked,1401,1371,0.59771,992,7.95063
worst,1396,1359,0.59248,893,7.15717
infected,1396,1355,0.59074,937,7.50982
living,1394,1353,0.58986,1026,8.22313
serious,1390,1363,0.59422,976,7.82239
longer,1390,1355,0.59074,933,7.47776
power,1389,1322,0.57635,936,7.5018
impact,1388,1332,0.58071,978,7.83842
arent,1385,1240,0.5406,927,7.42967
rest,1383,1361,0.59335,995,7.97467
folk,1383,1353,0.58986,940,7.53386
spreading,1378,1364,0.59466,951,7.62202
using,1375,1352,0.58943,1001,8.02276
passport,1368,1285,0.56022,718,5.75459
du,1368,1134,0.49439,361,2.89332
paidsickdays,1361,1351,0.58899,690,5.53018
true,1356,1291,0.56283,883,7.07702
plus,1355,1196,0.52142,625,5.00922
healthy,1355,1312,0.57199,930,7.45371
freedom,1355,1271,0.55411,762,6.10724
understand,1354,1333,0.58114,956,7.6621
centre,1351,1157,0.50441,816,6.54003
went,1348,1300,0.56676,990,7.9346
currently,1345,1336,0.58245,948,7.59798
theyre,1340,1233,0.53755,912,7.30945
looking,1338,1324,0.57722,1023,8.19909
evidence,1332,1271,0.55411,884,7.08504
est,1332,1151,0.5018,472,3.78296
lead,1329,1309,0.57068,963,7.7182
talk,1326,1289,0.56196,969,7.76629
cause,1325,1284,0.55978,912,7.30945
supply,1320,1205,0.52534,896,7.18121
house,1312,1274,0.55542,949,7.606
jason,1300,1236,0.53886,583,4.6726
lie,1293,1223,0.53319,867,6.94879
president,1291,1267,0.55237,830,6.65224
york,1288,1218,0.53101,734,5.88282
older,1283,1239,0.54016,816,6.54003
let,1283,1222,0.53275,919,7.36555
spot,1282,1232,0.53711,864,6.92474
happen,1281,1257,0.54801,950,7.61401
blood,1281,1171,0.51052,828,6.63621
site,1280,1210,0.52752,879,7.04496
surgery,1275,1190,0.5188,795,6.37172
especially,1274,1268,0.55281,932,7.46974
low,1268,1232,0.53711,942,7.54989
four,1268,1254,0.5467,960,7.69416
hear,1265,1233,0.53755,958,7.67813
deadly,1261,1245,0.54278,894,7.16518
13,1258,1228,0.53537,899,7.20526
protocol,1257,1234,0.53798,735,5.89084
table,1255,1173,0.51139,789,6.32364
seeing,1255,1224,0.53362,916,7.34151
choice,1251,1083,0.47215,840,6.73239
count,1245,1221,0.53232,854,6.84459
called,1244,1215,0.5297,907,7.26938
man,1242,1187,0.51749,886,7.10107
reminder,1236,1229,0.5358,955,7.65408
nation,1236,1160,0.50572,798,6.39577
quarantine,1235,1077,0.46954,773,6.1954
become,1234,1221,0.53232,950,7.61401
priority,1231,1182,0.51531,862,6.90871
monday,1230,1200,0.52316,804,6.44386
sense,1227,1190,0.5188,896,7.18121
program,1226,1162,0.50659,853,6.83658
seems,1225,1204,0.5249,906,7.26136
love,1224,1142,0.49787,910,7.29342
receive,1223,1209,0.52708,908,7.27739
provide,1223,1210,0.52752,902,7.2293
there,1220,1191,0.51924,893,7.15717
sflecce,1216,1184,0.51619,519,4.15965
post,1215,1191,0.51924,920,7.37357
idea,1207,1197,0.52185,915,7.33349
whole,1206,1197,0.52185,887,7.10908
based,1198,1172,0.51095,903,7.23732
matter,1197,1167,0.50877,880,7.05298
wednesday,1193,1184,0.51619,723,5.79466
saturday,1191,1169,0.50965,849,6.80452
aged,1188,1161,0.50616,831,6.66025
mass,1184,1118,0.48741,843,6.75643
